symbol,place,manner,voicing
ɗ,a,voiced,voiced
ᶑ,rf,voiced,voiced
ʄ,p,voiced,voiced
ɠ,v,voiced,voiced
ʛ,u,voiced,voiced
ɓ̥,bl,voiceless,voiceless
ɗ̥,a,voiceless,voiceless
ᶑ̊,rf,voiceless,voiceless
ʄ̊,p,voiceless,voiceless
ɠ̊,v,voiceless,voiceless
ʛ̥,u,voiceless,voiceless
pʼ,bl,stop,voiceless
tʼ,a,stop,voiceless
ʈʼ,rf,stop,voiceless
cʼ,p,stop,voiceless
kʼ,v,stop,voiceless
qʼ,u,stop,voiceless
ɸʼ,bl,fricative,voiceless
fʼ,ld,fricative,voiceless
θʼ,d,fricative,voiceless
sʼ,a,fricative,voiceless
ʃʼ,pa,fricative,voiceless
ʂʼ,rf,fricative,voiceless
ɕʼ,p,fricative,voiceless
xʼ,v,fricative,voiceless
χʼ,u,fricative,voiceless
ɬʼ,a,lateral-fricative,voiceless
ʘ,bl,tenuis,voiceless
ǀ,d,tenuis,voiceless
ǃ,a,tenuis,voiceless
𝼊,rf,tenuis,voiceless
ǂ,p,tenuis,voiceless
ʞ,v,nasal,voiced
ǁ,a,tenuis-lateral,voiceless
